port_name,year,month,num_of_ship,num_of_delay,total_congestion_time,act,aact,acr
Algeciras,2022,4,221,20,429.72555765,1.944459536877828,21.4862778825,0.090497737556561
Algeciras,2022,5,228,17,697.98360632,3.061331606666667,41.05785919529412,0.0745614035087719
Algeciras,2022,6,227,24,593.5030582,2.614550917180617,24.72929409166667,0.105726872246696
Algeciras,2022,7,231,31,668.7286147,2.894929067965368,21.57189079677419,0.1341991341991342
Algeciras,2022,8,234,31,551.1363905000001,2.35528372008547,17.77859324193549,0.1324786324786325
Algeciras,2022,9,184,21,416.1277794,2.261564018478261,19.81560854285714,0.1141304347826087
Algeciras,2022,10,198,16,236.41332855,1.194006709848485,14.775833034375,0.0808080808080808
Algeciras,2022,11,189,11,242.0552755,1.280715743386243,22.00502504545454,0.0582010582010582
Algeciras,2022,12,175,15,272.28416212,1.555909497828571,18.15227747466667,0.0857142857142857
Algeciras,2023,1,182,12,349.05333734,1.91787547989011,29.08777811166667,0.0659340659340659
Algeciras,2023,2,160,10,168.2950004,1.0518437525,16.82950004,0.0625
Algeciras,2023,3,189,18,385.37278104,2.039009423492064,21.40959894666667,0.0952380952380952
Algeciras,2023,4,210,21,452.9944474,2.157116416190476,21.57116416190476,0.1
Algeciras,2023,5,197,15,246.0022195,1.248742230964467,16.40014796666667,0.0761421319796954
Algeciras,2023,6,192,16,348.3902753,1.814532683854167,21.77439220625,0.0833333333333333
Algeciras,2023,7,201,14,284.7244417,1.416539510945274,20.33746012142857,0.0696517412935323
Algeciras,2023,8,217,18,242.7961158,1.118876109677419,13.4886731,0.0829493087557603
Algeciras,2023,9,203,16,386.0983322,1.901962227586207,24.1311457625,0.0788177339901477
Algeciras,2023,10,206,11,169.7652764,0.8241032834951456,15.43320694545455,0.0533980582524271
Antwerp,2017,1,340,96,2798.452205,8.230741779411765,29.15054380208333,0.2823529411764706
Antwerp,2017,2,317,64,1202.8599735,3.794510957413249,18.7946870859375,0.2018927444794953
Antwerp,2017,3,338,79,2310.0520602,6.834473550887575,29.24116531898734,0.2337278106508876
Antwerp,2017,4,360,92,3123.195262,8.675542394444445,33.94777458695653,0.2555555555555555
Antwerp,2017,5,366,71,2025.6251906,5.534495056284153,28.52993226197183,0.1939890710382514
Antwerp,2017,6,341,78,1614.7019314,4.735196279765396,20.70130681282051,0.2287390029325513
Antwerp,2017,7,375,84,1631.1873843,4.349833024800001,19.41889743214286,0.224
